status,gasInStorage,full,trend,injection,withdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,Name,Country,Type,operator,Year,Month,Day,Date,Week,LastUpdateTime
C,1.0926,41.25,0,0,0,2.6486,288.93,240.78,UGS Holford (Post-Brexit),United Kingdom,ASF,Uniper Energy Storage Ltd (Post-Brexit),2025,7,2,7/2/2025,27,8/2/2025
C,3.4229,69.77,0.64,32.07,0,4.9061,57.51,84.76,UGS Damborice,Czechia,DSR,MND Gas Storage,2025,7,2,7/2/2025,27,8/2/2025
C,11.5033,58.99,0.83,162.71,0,19.4989,165.6,177.87,UGS Haidach (SEFE Storage),Austria,DSR,SEFE Storage,2025,7,2,7/2/2025,27,8/2/2025
C,1.0917,2.44,0.09,40.88,0,44.6763,352.62,542.5,UGS Rehden,Germany,DSR,SEFE Storage (Germany),2025,7,2,7/2/2025,27,8/2/2025
C,19.9273,41.87,0.3,142.28,0,47.5929,348.93,535,"VGS MFGT (Pusztaederics, Zsana-Nord, Kardoskút-Pusztaszolos, Hajdúszoboszló)",Hungary,DSR,HGS (9),2025,7,2,7/2/2025,27,8/2/2025
C,0.6471,64.77,0.78,7.73,0,0.999,10.66,32.76,UGS Rüdersdorf H,Germany,ASF,EWE Gasspeicher,2025,7,2,7/2/2025,27,8/2/2025
C,0.8504,40.93,0,0,0,2.0779,54,94.5,UGS Etzel EnBW (VGS),Germany,ASF,EnBW Etzel Speicher,2025,7,2,7/2/2025,27,8/2/2025
C,1.0882,72.98,0.56,8.23,0,1.491,55.3,46.78,UGS Etzel ESE (MET),Germany,ASF,MET Speicher,2025,7,2,7/2/2025,27,8/2/2025
C,2.1934,55.67,0.42,16.75,0,3.94,86.04,244.32,UGS Peckensen,Germany,ASF,Storengy Deutschland,2025,7,2,7/2/2025,27,8/2/2025
C,6.4291,67.9,0.56,52.54,0,9.468,274.8,357.24,UGS Bierwang,Germany,DSR,Uniper Energy Storage,2025,7,2,7/2/2025,27,8/2/2025
C,8.9223,74.55,0.08,15.92,6,11.9689,95.75,664.94,"VGS SALINE (Tersanne, Etrez, Manosque)",France,ASR,Storengy,2025,7,2,7/2/2025,27,8/2/2025
C,6.2913,63.72,0.59,58.51,0,9.874,90.96,108.96,UGS Uelsen,Germany,DSR,Storengy Deutschland,2025,7,2,7/2/2025,27,8/2/2025
